prescription_id,chart_id,ayanamsha_id,build_id,snapshot_type,target_graha,target_resonance_id,tradition,sub_tradition,remedy_category,remedy_id_g27,remedy_label_human,prescription_detail_jsonb,classical_strength_rating,classical_sources_jsonb,classical_source_text_jsonb,targets_motif_id,targets_cell_id,targets_dosha_class,resonance_match_score,match_score_formula_version,counter_indications_array,incompatible_with_prescription_ids_array,prerequisite_prescription_ids_array,feasibility_score,estimated_cost_inr_range_jsonb,estimated_time_minutes_daily,ritual_complexity_class,requires_acharya_review_flag,acharya_review_reason_array,cross_tradition_corroboration_count,cross_tradition_corroborating_traditions_array,phase_sequence_class,phase_duration_days,count_prescription_jsonb,substitute_options_jsonb,yantra_geometry_jsonb,pranapratishtha_required_flag,pilgrimage_site_jsonb,pilgrimage_priority_rank,recommended_hora_lord_array,recommended_choghadiya_window_array,initiation_lunar_phase_recommendation_array,recommended_facing_direction,outcome_tracking_placeholder_jsonb,prescription_embedding_vec,verification_pass_status,citation_ref,citation_human,computed_at
18ef2534-d53d-4452-a213-18da2d8b2047,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Venus,4485e2c8-2913-45e8-8fb2-2c11ff565938,parashari,,mantra,venus_matrix_mantra,"Recite the Venus beej mantra 'Om Draam Dreem Draum Sah Shukraya Namah' 108 times daily on Friday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Recite the Venus beej mantra 'Om Draam Dreem Draum Sah Shukraya Namah' 108 times daily on Friday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/venus_matrix_mantra,G27 remedy venus_matrix_mantra for Venus,2026-08-10 01:52:11.356374+00
6d29baa2-a4e4-4c77-8bfd-95f5111827f3,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Venus,4485e2c8-2913-45e8-8fb2-2c11ff565938,parashari,,mantra,venus_marriage_mantra_01,"Chant Shukra Ashtottara Shatanamavali 108 times on Fridays. Venus governs love, beauty, relationships, and luxury.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Chant Shukra Ashtottara Shatanamavali 108 times on Fridays. Venus governs love, beauty, relationships, and luxury."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.88"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": null, ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/venus_marriage_mantra_01,G27 remedy venus_marriage_mantra_01 for Venus,2026-08-10 01:52:11.356374+00
de33ff2b-d9c2-416b-b359-97767cadf957,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Venus,4485e2c8-2913-45e8-8fb2-2c11ff565938,parashari,,japa,stotra_shri_sukta_venus_wealth,"For Venus-related wealth affliction (Venus in 6H/12H, debilitated in Virgo, or Shukra dasha poverty): recite Shri Sukta (Rigveda Khilani, 16 verses) on Fridays before Lakshmi puja. Shri Sukta is the o","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""For Venus-related wealth affliction (Venus in 6H/12H, debilitated in Virgo, or Shukra dasha poverty): recite Shri Sukta (Rigveda Khilani, 16 verses) on Fridays before Lakshmi puja. Shri Sukta is the oldest Vedic hymn to Lakshmi and is the canonical prescription for Venus/Lakshmi-related prosperity."", ""maraka_contraindication_verdict"": null}",0.88,"{""citation"": ""Rigveda Khilani (Shri Sukta 16 verses); BPHS Ch.88"", ""source_id"": ""BPHS""}",,,,,0.940997,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/stotra_shri_sukta_venus_wealth,G27 remedy stotra_shri_sukta_venus_wealth for Venus,2026-08-10 01:52:11.356374+00
76aeb25b-bd35-4b5f-95fc-cafb80b072a3,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Ketu,fc2ac26a-20e8-4011-bb7d-5b6425e30a16,parashari,,mantra,ketu_matrix_mantra,"Recite the Ketu beej mantra 'Om Sraam Sreem Sraum Sah Ketave Namah' 108 times daily on Saturday/Tuesday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Recite the Ketu beej mantra 'Om Sraam Sreem Sraum Sah Ketave Namah' 108 times daily on Saturday/Tuesday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/ketu_matrix_mantra,G27 remedy ketu_matrix_mantra for Ketu,2026-08-10 01:52:11.356374+00
36ee8187-0ff2-41c5-ac83-3af66d2e1719,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Ketu,fc2ac26a-20e8-4011-bb7d-5b6425e30a16,parashari,,gemstone,ketu_matrix_gemstone,"Wear a tested Cat's Eye (Lehsunia) in panchdhatu on the prescribed finger, on Saturday/Tuesday, during Shukla Paksha. ONLY if Ketu is a functional benefic in the chart (test for 3 days first before co","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Wear a tested Cat's Eye (Lehsunia) in panchdhatu on the prescribed finger, on Saturday/Tuesday, during Shukla Paksha. ONLY if Ketu is a functional benefic in the chart (test for 3 days first before committing)."", ""maraka_contraindication_verdict"": {""reason"": ""Ketu is neither the 2nd-house lord (Venus) nor the 7th-house lord (Venus) from lagna in this chart — no maraka-lordship contraindication under the v1 rule."", ""verdict"": ""no_contraindication_found"", ""citation"": ""BPHS Ch.44 \""Maraka (Killer) Planets\"" (2-5, 3): \""the 2nd and 7th are Maraka houses... The lords of the 2nd and the 7th ... are known as Marakas.\"" Trans. R. Santhanam, Ranjan Publications. Corroborated by BPHS Ch.47 (Venus sub-periods): \""If Venus be lord of the 2nd or the 7th (two maraka houses) there will be during his Dasa, physical pains and troubles.\"""", ""rule_scope"": ""v1: 2nd/7th house lordship only (occupancy + Rahu/Ketu extensions not yet implemented — see BETA_G.md follow-up)"", ""second_lord"": ""Venus"", ""seventh_lord"": ""Venus"", ""is_maraka_lord"": false, ""source_fact_id"": ""ce53a8025f335a1d""}}",0.85,"{""citation"": ""classical ratna-shastra; Phaladeepika"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,"{""Gemstones strengthen the planet — wear ONLY if the planet is a functional benefic for the chart; otherwise they amplify malefic results.""}",,,0.45,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""high"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,complex,t,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/ketu_matrix_gemstone,G27 remedy ketu_matrix_gemstone for Ketu,2026-08-10 01:52:11.356374+00
0ea9e1ff-7898-435e-89ad-2cd104ae2dc6,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Ketu,fc2ac26a-20e8-4011-bb7d-5b6425e30a16,parashari,,charity,ketu_matrix_charity_blanket,Donate blanket to the needy / a temple / a Brahmin on Saturday/Tuesday (for Ketu propitiation). Consistent donation on the planet's day pacifies its afflictions.,"{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Donate blanket to the needy / a temple / a Brahmin on Saturday/Tuesday (for Ketu propitiation). Consistent donation on the planet's day pacifies its afflictions."", ""maraka_contraindication_verdict"": null}",0.85,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,,,,0.75,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""low"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,moderate,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/ketu_matrix_charity_blanket,G27 remedy ketu_matrix_charity_blanket for Ketu,2026-08-10 01:52:11.356374+00
13638302-7074-47f8-ac6d-31def1b24c43,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Rahu,40f5ec51-f8b9-4506-8d0b-706cabdb3386,parashari,,mantra,rahu_matrix_mantra,"Recite the Rahu beej mantra 'Om Bhraam Bhreem Bhraum Sah Rahave Namah' 108 times daily on Saturday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Recite the Rahu beej mantra 'Om Bhraam Bhreem Bhraum Sah Rahave Namah' 108 times daily on Saturday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/rahu_matrix_mantra,G27 remedy rahu_matrix_mantra for Rahu,2026-08-10 01:52:11.356374+00
a18444c6-29fa-4723-8f3e-61ab3f9b7832,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Rahu,40f5ec51-f8b9-4506-8d0b-706cabdb3386,parashari,,charity,rahu_matrix_charity_urad_dal,Donate urad dal to the needy / a temple / a Brahmin on Saturday (for Rahu propitiation). Consistent donation on the planet's day pacifies its afflictions.,"{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Donate urad dal to the needy / a temple / a Brahmin on Saturday (for Rahu propitiation). Consistent donation on the planet's day pacifies its afflictions."", ""maraka_contraindication_verdict"": null}",0.85,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,,,,0.75,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""low"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,moderate,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/rahu_matrix_charity_urad_dal,G27 remedy rahu_matrix_charity_urad_dal for Rahu,2026-08-10 01:52:11.356374+00
259be0a8-2953-42c7-8fb5-54eb683a9acf,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Rahu,40f5ec51-f8b9-4506-8d0b-706cabdb3386,parashari,,gemstone,rahu_matrix_gemstone,"Wear a tested Hessonite (Gomed) in lead/silver on the prescribed finger, on Saturday, during Shukla Paksha. ONLY if Rahu is a functional benefic in the chart (test for 3 days first before committing).","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Wear a tested Hessonite (Gomed) in lead/silver on the prescribed finger, on Saturday, during Shukla Paksha. ONLY if Rahu is a functional benefic in the chart (test for 3 days first before committing)."", ""maraka_contraindication_verdict"": {""reason"": ""Rahu is neither the 2nd-house lord (Venus) nor the 7th-house lord (Venus) from lagna in this chart — no maraka-lordship contraindication under the v1 rule."", ""verdict"": ""no_contraindication_found"", ""citation"": ""BPHS Ch.44 \""Maraka (Killer) Planets\"" (2-5, 3): \""the 2nd and 7th are Maraka houses... The lords of the 2nd and the 7th ... are known as Marakas.\"" Trans. R. Santhanam, Ranjan Publications. Corroborated by BPHS Ch.47 (Venus sub-periods): \""If Venus be lord of the 2nd or the 7th (two maraka houses) there will be during his Dasa, physical pains and troubles.\"""", ""rule_scope"": ""v1: 2nd/7th house lordship only (occupancy + Rahu/Ketu extensions not yet implemented — see BETA_G.md follow-up)"", ""second_lord"": ""Venus"", ""seventh_lord"": ""Venus"", ""is_maraka_lord"": false, ""source_fact_id"": ""ce53a8025f335a1d""}}",0.85,"{""citation"": ""classical ratna-shastra; Phaladeepika"", ""source_id"": ""BPHS""}",,,,,0.908918,v1.0,"{""Gemstones strengthen the planet — wear ONLY if the planet is a functional benefic for the chart; otherwise they amplify malefic results.""}",,,0.45,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""high"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,complex,t,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/rahu_matrix_gemstone,G27 remedy rahu_matrix_gemstone for Rahu,2026-08-10 01:52:11.356374+00
9a5d8f95-6e3d-4371-8e4f-602af602711f,482012f1-710e-4a25-994a-93821f5871aa,lahiri_chitrapaksha,bf73222f-4566-4bf6-bc1d-c42b5844a27f,static_natal,Moon,566dfda3-ebe3-475b-8b78-897199dc87e6,parashari,,mantra,moon_matrix_mantra,"Recite the Moon beej mantra 'Om Shraam Shreem Shraum Sah Chandraya Namah' 108 times daily on Monday, facing east. Complete mahadasha-count japa over the dasha period.","{""deity"": null, ""gemstone"": null, ""mantra_text"": null, ""charity_action"": null, ""prescription_text"": ""Recite the Moon beej mantra 'Om Shraam Shreem Shraum Sah Chandraya Namah' 108 times daily on Monday, facing east. Complete mahadasha-count japa over the dasha period."", ""maraka_contraindication_verdict"": null}",0.90,"{""citation"": ""BPHS Ch.91-94 (Upaya-adhyaya)"", ""source_id"": ""BPHS""}",,,,,1.010502,v1.0,,,,0.9,"{""reason"": ""INR market pricing requires an external, time-varying market-price source not present in the classical-text corpus this system computes from — B.10 forbids inventing a figure. See cost_tier for the qualitative (free/low/medium/high) classification, which IS corpus-derived."", ""available"": false, ""cost_tier"": ""free"", ""external_computation_required"": ""market gemstone/ritual-goods pricing lookup""}",,simple,f,,1,,,,,,,,,,,,,,,,documented_approximation,brahma_remedy_corpus/moon_matrix_mantra,G27 remedy moon_matrix_mantra for Moon,2026-08-10 01:52:11.356374+00
